Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,6
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,100
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,3
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,1700
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,800
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,1000
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,30
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,100
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070B01_1A,,PT,0
