Year,Value,Series
2007,10.1,_L_KG_010301_1C6
2008,10.6,_L_KG_010301_1C6
2009,10.527481,_L_KG_010301_1C6
2010,10.608791,_L_KG_010301_1C6
2011,10.838101,_L_KG_010301_1C6
2012,11.043937,_L_KG_010301_1C6
2013,10.825698,_L_KG_010301_1C6
2014,10.759191,_L_KG_010301_1C6
2015,10.746011,_L_KG_010301_1C6
2016,10.768411,_L_KG_010301_1C6
2017,10.760094,_L_KG_010301_1C6
2018,10.874701,_L_KG_010301_1C6
2007,8.277782,_L_KG_010301_1C2
2008,6.836681,_L_KG_010301_1C2
2009,6.9150160000000005,_L_KG_010301_1C2
2010,6.6,_L_KG_010301_1C2
2011,6.879721000000001,_L_KG_010301_1C2
2012,6.187625,_L_KG_010301_1C2
2013,5.8,_L_KG_010301_1C2
2014,5.3,_L_KG_010301_1C2
2015,5.1,_L_KG_010301_1C2
2016,4.5,_L_KG_010301_1C2
2017,4.7,_L_KG_010301_1C2
2018,4.5,_L_KG_010301_1C2
2007,1.124026,_L_KG_010301_1C4
2008,1.1507020000000001,_L_KG_010301_1C4
2009,1.176048,_L_KG_010301_1C4
2010,1.2,_L_KG_010301_1C4
2011,1.287183,_L_KG_010301_1C4
2012,1.283635,_L_KG_010301_1C4
2013,1.3,_L_KG_010301_1C4
2014,1.3,_L_KG_010301_1C4
2015,1.3,_L_KG_010301_1C4
2016,1.4,_L_KG_010301_1C4
2017,1.4,_L_KG_010301_1C4
2018,1.4,_L_KG_010301_1C4
