Value,en,Disaggregation combinations using this value,Number of indicators
_L_CNT_BY,_L_CNT_BY,1,1
_L_CNT_CN,_L_CNT_CN,1,1
_L_CNT_HU,_L_CNT_HU,1,1
_L_CNT_KZ,_L_CNT_KZ,1,1
_L_CNT_RU,_L_CNT_RU,1,1
_L_CNT_TJ,_L_CNT_TJ,1,1
_L_COFOG_GF04,_L_COFOG_GF04,2,1
_L_COFOG_GF06,_L_COFOG_GF06,2,1
_L_COFOG_GF07,_L_COFOG_GF07,2,1
_L_COFOG_GF09,_L_COFOG_GF09,2,1
_L_COFOG_T,_L_COFOG_T,2,1
_L_CSE_AGE,_L_CSE_AGE,2,1
_L_CSE_DISAB,_L_CSE_DISAB,2,1
_L_CSE_DOM,_L_CSE_DOM,2,1
_L_CSE_FAMILY,_L_CSE_FAMILY,2,1
_L_CSE_MARR,_L_CSE_MARR,2,1
_L_CSE_MATDIFF,_L_CSE_MATDIFF,2,1
_L_CSE_NODOC,_L_CSE_NODOC,2,1
_L_CSE_NOLANG,_L_CSE_NOLANG,2,1
_L_CSE_OTHER,_L_CSE_OTHER,2,1
_L_CSE_PARENTS,_L_CSE_PARENTS,2,1
_L_CSE_SEASWORK,_L_CSE_SEASWORK,2,1
_L_CSE_SICK,_L_CSE_SICK,2,1
_L_CSE_TRANSPORT,_L_CSE_TRANSPORT,2,1
_L_CSE_UNWILL,_L_CSE_UNWILL,2,1
_L_CSE_WORK,_L_CSE_WORK,2,1
_L_EEX_CHARPLN,_L_EEX_CHARPLN,1,1
_L_EEX_EPIS,_L_EEX_EPIS,1,1
_L_EEX_NATRES,_L_EEX_NATRES,1,1
_L_EEX_NES,_L_EEX_NES,1,1
_L_EEX_OTHER,_L_EEX_OTHER,1,1
_L_EEX_OTHER_BIO,_L_EEX_OTHER_BIO,1,1
_L_EEX_POL,_L_EEX_POL,1,1
_L_EEX_PROTAN,_L_EEX_PROTAN,1,1
_L_EEX_PROTTPLN,_L_EEX_PROTTPLN,1,1
_L_EEX_RD,_L_EEX_RD,1,1
_L_EEX_VET,_L_EEX_VET,1,1
_L_POL_CO,_L_POL_CO,1,1
_L_POL_GASLIQ,_L_POL_GASLIQ,1,1
_L_POL_NOX,_L_POL_NOX,1,1
_L_POL_S02,_L_POL_S02,1,1
_L_POL_SOLID,_L_POL_SOLID,1,1
_L_WS_AQUIFER,_L_WS_AQUIFER,1,1
_L_WS_NATURAL,_L_WS_NATURAL,1,1
IS_256KT2M,IS_256KT2M,1,1
IS_2MT10M,IS_2MT10M,1,1
IS_GE10M,IS_GE10M,1,1
NCD_CARDIO,NCD_CARDIO,10,1
NCD_CNCR,NCD_CNCR,10,1
NCD_CRESPD,NCD_CRESPD,10,1
NCD_DIABTS,NCD_DIABTS,10,1
SKILL_ICTATCH,SKILL_ICTATCH,2,1
SKILL_ICTCDV,SKILL_ICTCDV,2,1
SKILL_ICTCMFL,SKILL_ICTCMFL,2,1
SKILL_ICTCPT,SKILL_ICTCPT,2,1
SKILL_ICTPRGM,SKILL_ICTPRGM,2,1
SKILL_ICTPST,SKILL_ICTPST,2,1
SKILL_ICTSFWR,SKILL_ICTSFWR,2,1
SKILL_ICTSSHT,SKILL_ICTSSHT,2,1
SKILL_ICTTRFF,SKILL_ICTTRFF,2,1
